,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
ANXA2,9.98407428738014,0,9.29971666431744,8.67086279608275,9.98608409826494,8.05686558707083,8.99150901446582,9.32524477789039,9.37216086963964
PPIB,7.89756411259122,4.76853236192594,8.35201061401817,8.10816426120743,8.51241568960031,7.93326177859537,7.2660088176882,8.97408918622555,7.65575483970699
RPS17,6.88917549074993,3.40971822989597,8.71589830224115,8.24064276773156,7.51259022040269,7.72042491575031,7.48009733228284,7.475345988002,8.48488788108949
MRPL46,0,0,0,4.72662639942142,1.54183294072644,0,0,5.35514639873725,5.92380265647105
HAGH,6.45225465024319,5.45568028073696,6.84119796870364,3.53792971830122,0,1.2972786894223,0,0,5.1793999027687
FAHD1,2.87838610537646,0,0,5.2130105354435,0,0,0,0,0
PKMYT1,6.778731110404,0,2.50765345445563,6.47743987900354,9.36326926120385,1.96912187144367,0,7.99699123794879,0
MT1X,0,0,5.22202442078976,0,2.94312368104972,6.53654821228317,5.26982976624249,0,0
GABARAPL2,0,6.87533956396538,7.71932528402991,7.34295936154136,5.60854456667591,6.53654821228317,5.85847590428641,6.22109577930349,4.82816022366801
RPL13,5.97600589099516,6.37973532178671,9.44017905863246,8.57372516641304,7.15442829672709,7.434649430713,7.02890814852868,7.85296301485685,8.5276062665058
RNF167,4.92523407437831,5.27181496920106,2.17479231363065,3.88748925225091,6.14516651379141,5.10960792425769,4.94513275787901,5.26988477774144,4.97007833961197
AURKB,0,0,0,0,6.97971151381345,0,0,0,0
RPL23A,4.14382894566204,0,5.9796138381538,5.12797663188687,5.0242350797843,3.96129795912948,5.16950351668004,5.60766869311086,5.61358338090832
RPL23,6.3006283346297,2.64415968285407,9.14109796181652,7.98058448318611,6.74276249162383,7.3339724514435,7.94208273892236,8.14798708204667,8.3615130837982
IGFBP4,0,0,4.8047724936185,4.08088364944794,0,0,0,0,0
KRT17,0,0,0,0,0,0,0,0,2.780912255517
MLX,4.72318079994974,0,4.53996409494537,3.66409713278708,4.10843716652605,5.04737569467284,0,5.46151511529678,1.97688929324989
