"","Br11.10","Br11.18","Br11.1","Br11.2","Br11.3","Br11.4","Br11.6","Br11.8","Br11.9"
"DNAJC1",2.7135004883149,0,7.57607772037016,5.57611217872611,5.66399038320728,3.28479423456461,6.36880552575296,5.56057699896791,0.984634069889191
"BMI1",0,4.51604533994688,6.47378998581924,0,5.25840651377509,0,5.75841457232562,0,0
"MASTL",0,1.85824263088808,5.26661968333222,3.39966198476817,6.63589306676056,1.2972786894223,0,5.9002165776632,0
"WAC",6.50366594796398,6.80932224712269,7.41702293340509,6.49452510881543,5.69093415152687,4.68818188746277,8.33842797079999,4.70349827627479,7.1190697519878
"EPC1",4.67913798597168,2.83320060573328,0,6.03896533855019,1.95138744474997,5.52941832979741,5.92152472682148,0,3.97105330384343
"CUL2",4.6337081726244,0,7.37690465579731,5.78494918105097,6.39500148920146,4.68818188746277,1.1990640901276,5.74036854546079,3.14249360790892
"ERCC6",2.87838610537646,1.45966154349926,3.79588063492644,1.04370148673221,6.14516651379141,4.76753170768432,0,4.46860335515537,0
"PARG",1.75807992347051,0,0,3.07563022327984,0,0,1.1990640901276,0,0
"A1CF",2.06234119915064,0,0,0,0,0,0,0,0.984634069889191
"UBE2D1",1.75807992347051,0,5.47099968859473,0,3.52532104143033,7.03045450940896,0,2.04680443405476,0
"CDK1",4.26795921041992,0,0,7.21480377919955,7.19263592225048,0,0,5.08257157937645,0
"JMJD1C",0,9.1163796363266,7.31455461354784,7.00429019354587,7.08502895039423,4.31827581299783,5.31749237339421,4.746213517374,5.36216353090455
"SIRT1",3.28329171821906,0,5.64998631793611,4.25139118580583,3.52532104143033,3.66234102537749,5.61319428587694,0,0
"DDX50",0.843307622681109,0,4.8047724936185,2.65707978202499,3.84614159452782,4.76753170768432,0,0,0
"DDX21",4.53831762090615,0,6.91309354482348,5.99161463580692,0,3.66234102537749,3.33218485004581,5.9002165776632,2.97300125790583
"KAT6B",6.25635193816673,0,0,4.329638905314,6.34498753687972,0,4.04883618003845,4.94265644026023,5.99195091851952
"PCGF5",6.22606093988449,5.93993462242205,6.66915838042982,6.21420627890992,6.22106918385847,0,3.13347161369605,7.007025241581,0
"HELLS",0,0,0,7.2454046313543,6.90112995863859,1.2972786894223,2.90294840608274,5.60766869311086,0
"EXOSC1",0.843307622681109,0,7.43667133105794,1.64294184445923,0,4.0903568110676,0,4.787700331834,5.46164965689992
"CHUK",0.843307622681109,4.76853236192594,4.30361811528956,2.06506563084475,0.967774308989832,0,4.15759259333674,0,0
"HIF1AN",2.06234119915064,2.17020601574214,6.70200302351255,5.78494918105097,4.10843716652605,0,0,0,0
"MGEA5",7.24688479129286,7.02826452242414,6.03222147911248,6.49452510881543,6.25757369966919,6.39379326525253,5.36363056944324,5.24030648837628,3.14249360790892
"PCGF6",4.53831762090615,0,0,5.47644363256108,0,1.96912187144367,0,0,0
"TAF5",0.843307622681109,0,0,0,0,1.2972786894223,4.25872208316143,3.37791392241941,0
"FAM175B",0,0,0,4.329638905314,1.54183294072644,0,0,3.58034341110739,0
"CTBP2",3.28329171821906,4.90121600996669,5.68326531930499,4.40386013788609,4.26007070111535,5.89010486662563,4.81834151982626,6.26582152675827,5.1793999027687
"NAP1L4",7.50833528175905,7.42347509931971,4.02081918446073,7.48650270330197,6.25757369966919,7.22573923341335,4.25872208316143,6.30920229959073,6.05702475646257
"APBB1",0.843307622681109,0,0,0,4.18624518566689,0,6.12273610209032,0,0
"RRP8",4.76591880332032,4.90121600996669,4.67843552156071,4.25139118580583,6.04430286124211,0,0,0,1.56443800849731
"TAF10",4.5868011524303,5.30413289665563,5.30987769084172,2.65707978202499,5.0659992944453,4.68818188746277,4.35322463387412,2.51041665824996,5.94687827682976
"CTR9",5.80211462080868,7.66658351839344,3.00547457322004,0,4.63781447643797,0,0,5.63065038047542,5.36216353090455
"ARNTL",4.48814791069996,0,4.30361811528956,0,5.32871654674683,3.0510663588384,4.15759259333674,2.29715377441278,0
"ELP4",3.77679268308096,2.64415968285407,0,4.08088364944794,0,0,0,4.30680063087715,0
