,Br61.CTC.18,Br61.CTC.22,Br61.CTC.23,Br61.CTC.34,Br61.CTC.38,Br61.CTC.45,Br61.CTC.10,Br61.CTC.13,Br61.CTC.20,Br61.CTC.35,Br61.CTC.4,Br61.CTC.6
KIF14,0,0,1.50241916096267,2.44028728818443,0,0,0,0,7.59636564154863,0,0,0
UBE2T,0,0,6.51951215907168,9.77749303733177,6.01227793597784,4.93503895536655,0,0,9.52316668130518,0,7.36150685725289,0
NEK2,0,0,5.12572206503694,6.13070375798871,3.01091886951416,0,0,0,7.85149129907181,0,0,0
CENPF,0,5.79056516682841,0,8.62264423556554,5.4121084448082,0,4.55566945934016,5.86132534654727,8.86831303939346,0,6.58001948745677,5.50716547492901
HIST3H2A,4.2782733489173,5.96806779860989,6.33526644720494,6.14882163536852,3.26751156930657,0,4.67607915338005,4.73400857767264,3.25649805108849,0,0,4.79119399326396
ZNF695,2.28525463074312,0,3.34566171652143,0,6.60729010299258,0,0,0,4.48487992985528,0,6.07362889386229,4.89068953839433
SEC61A2,0,4.72051355606615,4.83276895524329,6.81471638924025,2.29943626996893,2.345262304423,2.3488302965728,3.88665862565631,5.1385858085035,3.32502644160885,4.65962666165708,3.79179578567051
MASTL,6.08396106980693,5.07087175272999,5.63166042663752,8.52545164294492,7.25185573675553,5.45470368822046,4.67607915338005,5.86132534654727,8.01551372672329,6.28880033714617,6.94466008712825,5.53818457383375
KIF5B,9.0730357500109,9.41152092711528,8.55414394250472,9.2739790598042,8.25083560263363,7.75689378133677,8.39539306442169,9.53867375093354,8.91381386049733,9.42550195144956,8.67245063894131,8.10223874925015
ZWINT,4.9998201249671,4.9632702000304,5.40075694464995,8.60306556711324,4.12723258702923,0,0,6.35361465694036,8.10229767860002,0,8.34997585366842,0
CDK1,0,0,0,10.644047583215,0,0,0,0,8.87490167794444,0,7.32556983766642,0
RTKN2,3.12911856065082,0,0,6.36572688142238,3.7604862539382,0,0,0,4.55219787411349,0,4.23277630190898,0
DDX21,6.58383919795813,8.86795795290516,8.52212945486597,7.54654659603575,8.62223454993361,8.07884906490835,4.61713014074182,8.85180267836861,6.92910489991378,7.27954442093692,7.21205374098864,5.96078455709161
RPS24,7.40548874956582,9.35676093539506,8.7357128811975,8.60306556711324,7.59987242415524,4.83543462122546,6.6770746152965,8.61136221271652,7.46279167187903,9.19819318444003,9.75686015401313,8.85363777401799
KIF20B,1.55446638600676,5.17100199788564,5.9637359566283,6.67167486492986,0.835544763064257,0,0,5.02336811927589,4.17897019048241,0,5.31613302829903,5.47546475839329
KIF11,0,0,0,8.73484442675985,5.05162271733292,0,0,6.79868430292713,4.84844583910103,0,5.82863146239384,0
CEP55,0,0,4.12916472519802,7.51196938040863,0,0,0,0,4.90103768941041,0,5.31613302829903,0
PIK3AP1,0,0,0,6.45580328411753,0,0,0,0,0,0,0,0.991642860253225
MCMBP,2.76802590390751,5.01807390936624,6.53385446470356,7.32543973629143,4.30952095889268,4.42005376997187,4.7872088135702,5.76006893958714,6.00236397200098,7.59588142028423,7.93402674313677,7.01678873138028
BUB3,4.65624654859562,7.63722674247693,7.52604838890916,8.69840537611288,6.31203115484738,0,6.14159384718507,7.69951472247123,7.99751242837126,8.02023721021582,8.55320988215406,0
MKI67,0,0,0,9.60449512745426,0,0,0,0,9.3063331702023,0,3.88320133640444,0
RRM1,6.18345225827571,5.43542278527867,6.86406176036588,10.295353892391,4.25128033304765,5.58308484681712,0,7.85492190436839,9.52526229730175,0,8.82952739228832,7.67680543570396
NUCB2,5.1647264248613,5.82170730700242,6.44558061365825,7.00575862140735,5.11831081339983,5.55204461634582,5.16188528513346,2.78878521854311,5.48711958119476,4.58826143678028,5.88897389991877,5.11300169954102
E2F8,0,0,2.89066238575048,7.67711994649836,0.835544763064257,0,5.89095919961925,3.88665862565631,6.43572927317408,0,5.94689344452848,0
PRMT3,1.96564614263482,2.20897628517018,5.46203879626036,5.87178141491859,4.25128033304765,0,5.20255360652411,5.02336811927589,5.61855870255066,0,5.98425370286304,4.93797713029431
CCDC34,0,4.78513826222064,5.23509433140934,3.01506874952756,3.26751156930657,1.01462804851359,4.03147591614999,0,5.26435412599989,0,2.08291966138848,2.98534308181042
KIF18A,0,0,3.7899605392245,3.74383746375936,0,0,0,0,3.6741589981651,0,0,0
CD82,7.64073798768505,8.90841055327743,8.52212945486597,7.42543767433393,9.60012919893532,8.69437420129491,8.30022895820022,7.72660645673079,7.14072132177027,9.81079328197827,7.60879626814736,9.09961136829258
CKAP5,5.90896045951133,2.8153946795453,6.43032854509583,6.23614752300788,6.79226068160796,2.02188682632457,5.2421068835457,4.73400857767264,7.52275736883453,2.00258241746694,6.89648093988411,0
PSMC3,5.53994635139648,7.54693176667992,7.15131485187395,7.38779267817671,6.80243669720582,7.30504773861374,8.5530959812135,6.28236930168018,8.07966092930448,6.47913699726486,8.24998926933953,7.76467337887093
SSRP1,3.86401321800044,5.55143287183073,5.57730599435298,6.67167486492986,4.56994015165747,0,5.70532503418614,5.59346770575335,5.4166183532732,3.91010356822368,5.50791399433957,8.81299681884359
FAM111A,5.62735196269227,6.17515715215473,3.69104615681672,9.65923892006359,5.18205199324384,4.19743240191301,0,1.57054010331741,8.29147486089186,0,8.04426727389012,4.15409843275382
