,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
MXD3,5.95768784644829,3.90722780620045,6.08297809057871,6.87978054880402,7.68331527877073,7.71041908675214,6.27535170117926,6.54521121220467,4.82816022366801
DEK,7.36973587774811,1.45966154349926,8.26676215961938,8.67461549649247,7.85395106964609,7.35980797470845,7.3937935370556,8.28828376858324,7.85797773325425
GMNN,6.24128593674496,0,4.86402071962576,8.39873805939447,8.54600764129026,5.92513532960147,5.16950351668004,7.39037136693411,5.77701521807534
HIST1H3B,1.75807992347051,0,0,1.04370148673221,3.40029330649624,0,0,0,0
HIST1H3C,0,2.42655883810241,0,0,4.46127061149664,0,0,0,0
HIST1H4C,0,0,4.8047724936185,3.88748925225091,6.06504762460837,0,0,0,0
HIST1H1E,0,3.9890232248091,3.52927408359663,0,6.32792335775193,0,1.84471249713376,0,0
HIST1H2AH,2.7135004883149,0,0,0,5.32871654674683,0,3.80313073493845,4.18788140320874,0
HIST1H2AI,0,0.90705921075679,0,0,3.74692244825783,0,0,0,0
HLA-F,6.14742837403328,6.42452337617707,4.02081918446073,5.96734345125375,7.15442829672709,5.04737569467284,0,1.74369722987071,6.77673645503361
TUBB,10.7872571737748,6.7401385237105,6.99489050288254,10.7380146684162,11.022968632132,7.95884425942404,0,10.7988635495511,8.56909604701311
AIF1,3.02634497884694,3.62968872200817,0,0,0,0,0,0,0
LSM2,3.69068333213451,0,7.54925331580005,7.62482730409201,6.47468796270751,6.49051507560831,5.98193317010962,7.26378560174363,6.05702475646257
HSPA1B,5.5806089704772,0,5.64998631793611,5.0835032062234,5.79394255151046,5.38591976725673,4.44191560566814,3.83900862573554,1.97688929324989
KIFC1,5.28982061595719,0,0,5.83945657307712,8.02252028766749,0,0,6.62748710526465,0
UQCC2,4.80742708924121,0,5.83903547337971,6.21420627890992,4.74454679916748,4.42001620453904,5.53470716641754,4.24856596241825,6.01396994741511
