,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
SDF4,8.01737424785301,3.82051468109845,4.38677712657543,7.26545045131479,7.14471616484499,7.26728399657621,5.7925452952153,7.62590286290951,5.36216353090455
B3GALT6,5.48151647811306,0,7.1337748263085,3.39966198476817,3.64037238185392,6.26299177480354,4.67932411407081,5.21010906606064,0
FAM132A,0,0,0,0,0,0,0,0,3.14249360790892
UBE2J2,7.00965591724354,4.34019345737389,7.04695390036204,6.93088094288032,7.41900056880402,7.30766582095272,0,6.61601680016974,7.12919243150081
LOC101928895,0,0,2.17479231363065,0,2.7516620427869,0,0,0,0
SCNN1D,0,0,2.50765345445563,0,4.84392395693529,4.76753170768432,0,0,4.55536590162407
ACAP3,6.35762593193181,0,2.17479231363065,3.53792971830122,6.45909889746037,6.26299177480354,4.44191560566814,6.29488649055664,5.90035193841243
MIR6726,0,0,0,0,0,0,1.1990640901276,0,0
PUSL1,4.88702405920873,1.45966154349926,3.66872714671387,6.71462996273876,7.03333104677206,4.60421242172402,4.25872208316143,6.23615895125491,5.55471570578438
CPSF3L,7.00965591724354,5.09838282955846,8.21649935313723,7.10784262250677,6.06504762460837,7.76943886571379,7.52138734807275,7.10053133221583,2.97300125790583
MIR6727,0,0,1.11884864333125,1.04370148673221,0,0,0,0,0
GLTPD1,6.3435862497265,4.06642891725039,7.42688058148238,4.54174470684303,6.32792335775193,5.89010486662563,3.80313073493845,5.14774918913529,6.68364563652076
TAS1R3,0,0,0,0,0,0,0,0,0
DVL1,3.50132002521678,0,5.74760528159266,4.83790596399629,0,6.05732440920019,2.90294840608274,5.46151511529678,4.21867300501996
MIR6808,0,0,0,0,0,0,0,0,0
MXRA8,0,0,1.74134691342348,0,0,0,0,0,2.780912255517
AURKAIP1,5.65070276859227,4.67277246932893,6.26983416616533,6.51141037126527,7.25715711226461,7.66968703128724,5.22053856246496,7.26378560174363,7.96922470509125
CCNL2,8.17632107717031,6.78662764876938,10.030926943941,9.31239063844609,9.17571385721228,8.36819474673027,8.21801904538015,6.23615895125491,8.17866158631876
LOC148413,4.67913798597168,1.45966154349926,6.71814913031528,5.03761508897867,5.74335750603981,4.84274379167813,0,3.98882215151491,4.72514644042358
MRPL20,7.01851993004929,4.27646705410085,5.9796138381538,7.19403656137522,5.63653382102523,7.01427809643458,2.28916177518538,5.84232905469501,6.47724050788837
ANKRD65,0,0,0,0,0,0,0,0,0
TMEM88B,0,0,0,0,0,0,0,0,0
LOC102724312,0,0,0,0,0,4.31827581299783,0,0,0
VWA1,4.38225022710986,0,0,2.88148064607876,5.93585385338319,4.20881251001496,3.66256571443887,5.21010906606064,3.14249360790892
ATAD3C,0,1.45966154349926,5.58103285319381,3.07563022327984,2.27001571216642,0,0,3.48267620502123,0
ATAD3B,3.8580506738477,0,7.26045536612228,5.96734345125375,6.14516651379141,6.20715947668661,6.0956534582206,5.46151511529678,5.1793999027687
ATAD3A,5.16763848630326,0,4.21537091401379,5.78494918105097,6.37852207169761,0,0,5.32728200249959,5.32741623947319
TMEM240,0,0,0,0,0,0,0,0,0
SSU72,7.42411715873952,6.53757580495658,9.11084237778967,7.94994532506889,7.7230165699181,7.64888147533973,7.36005044516462,8.3928026311603,7.68349694278702
C1orf233,0,0,0,5.9426569431914,5.32871654674683,0,0,5.76134527692405,0.984634069889191
MIB2,3.28329171821906,5.27181496920106,5.80919795563234,6.03896533855019,5.91315030326242,5.61772181193057,0,5.99181541597399,0
MMP23B,0,0,0,0,0,0,0,0,0
CDK11B,3.16053114209887,3.90722780620045,4.67843552156071,4.08088364944794,5.10658842486211,5.52941832979741,5.49380204111515,6.06112479892699,3.77868666613505
SLC35E2B,5.03414323195572,5.78825731498363,0,5.5436484247112,5.18449356901434,4.76753170768432,0,2.04680443405476,0.984634069889191
MMP23A,0,0,0,0,0,0,0,0,0
CDK11A,2.06234119915064,3.90722780620045,4.97568210488614,2.88148064607876,0.967774308989832,4.84274379167813,3.13347161369605,4.24856596241825,1.56443800849731
SLC35E2,1.37201470237603,4.62239844342634,0,2.88148064607876,0.967774308989832,4.0903568110676,1.84471249713376,2.51041665824996,0
NADK,6.81987758479762,0,6.35490653233578,6.8535351809361,0.967774308989832,5.43535560654455,0,6.41888531813369,4.05840147761124
GNB1,7.12905420321329,6.26948328924965,7.19273908285515,5.81246028412237,4.74454679916748,6.02539521063773,0,7.54353394161702,4.72514644042358
CALML6,0,0,0,0,0,0,0,0,0
TMEM52,3.50132002521678,0,5.35187631308918,3.39966198476817,0,0,0,0,0
KIAA1751,0,0,0,0,0,0,0,0,0
GABRD,0,0,0,6.17235094843194,6.80574685571457,0,0,5.78202137350265,0
PRKCZ,1.37201470237603,0,1.74134691342348,6.03896533855019,5.81858513461138,4.0903568110676,6.01121459788637,3.48267620502123,4.14076170350031
LOC101929017,0,0,0,1.64294184445923,2.27001571216642,1.96912187144367,3.13347161369605,0.834285950287708,1.97688929324989
LOC100506504,0,0,0,1.04370148673221,0,0,1.84471249713376,0,0
