symbol,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_CL.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_CL.1,Patient.5_SC.1,Patient.5_SC.2,Patient.6_CL.1,Patient.6_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1,total
MLL,1,1,9,4,189,71,1,165,21,2,10,164,80903,207,272,50409,36,4,1,10,7634,1,1,356,43546,0,15,81,6001,190115
KRT19,587,10289,44688,24612,9417,5,3,6903,683,12123,10099,10621,60,3562,14,2,1,146,2,0,1,3,36281,12086,17,6375,1481,18,1,190080
YWHAZ,9128,34,1449,3883,2633,44,9,26246,912,9614,8797,9922,33,4516,35,58,14,22,14,72,9370,1497,4320,14505,14167,16692,14000,20292,14031,186309
RPS8,130,14,6803,6465,4075,42,2436,7619,407,10614,15467,10533,363,4635,47,6,38,96,12,5,1203,5,13650,26301,131,42086,31386,25,13,184607
RPS6,25068,170,13658,10119,9909,73,2338,8441,1543,23812,26872,10436,104,2648,34,8473,41,149,30,10,15,19,11462,7059,63,19960,429,30,8,182973
XBP1,1025,46,4945,2582,6826,64,32,8818,1648,82656,30728,26080,511,9554,20,6,25,206,56,14,10,15,1041,4558,287,31,331,54,11,182180
CDC25B,0,0,7,1320,433,29,1,665,451,549,9,9,160953,393,5,3,16,2,1,1,0,3,19,1285,1,7,14603,49,5,180819
UBR4,2,10,14,1394,155,11,9,31,283,1277,2230,18,10,1264,171,290,5,28,9,84646,8102,48673,6,3166,9789,0,4,14353,4750,180700
NAP1L1,1439,2066,21,976,694,31,40,4231,55,627,7,168,6,62,8,13,19,49,46,65,23573,35024,13,2731,39201,11913,2737,36297,17426,179538
MLPH,3992,16,5028,5135,1750,1,0,1266,8,8605,12031,5718,36,2197,11,0,7,5,1,2,0,0,119113,11431,16,2445,271,11,0,179096
TXNIP,4,103,1728,693,942,25,9,415,19,331,0,211,20,935,6,1196,9,11,15,8,17750,42215,0,111,3793,6,0,93210,14974,178739
RPL6,5178,26,13123,10044,6078,22,1562,9612,1200,11659,9175,10752,49,5982,32,5,15,8,3,9,3,2,37901,10031,57,12954,32789,13,3,178287
HBD,28800,192,598,5473,4449,47,9574,1392,56182,12732,3517,12129,120,41564,19,25,16,30,32,16,306,38,50,265,59,97,3,175,12,177912
RPS4X,6692,38,16852,14178,7897,46,53,18438,1333,26636,14481,14655,103,3586,86,13,26,45,17,11,8,11,1819,11743,68,15357,22815,33,8,177048
OAZ1,4150,32,875,2338,991,9,3266,3020,7427,1473,4817,2316,11,4344,18,49,7,27,17,15,22581,12796,5722,4525,48268,5579,11590,19916,6449,172628
LGALS8,1,2,1007,14,507,15,4,3842,328,57,1614,1675,8,2148,2,2,10,44,8,1,18141,411,12,591,125310,4,265,15862,124,172009
TRIM58,12504,94,643,2916,139,36,78,1672,10332,534,1403,8274,18,36796,9,66,17,50,41,32,18922,523,2,212,29466,640,5,35581,8941,169946
HLA-E,378,28,851,384,603,37,47,3821,672,748,24,84,11,11,32,16283,7,969,50,402,33924,12522,515,4655,26644,8119,8,34618,23222,169669
PTTG1IP,4900,26,5070,2484,1104,15,13,865,271,4821,48,4344,32,1456,11,5,8,6,11,3,9928,8582,19,8177,80581,16,8848,8,26745,168397
TNIK,0,2,2,5,285,25,5,6,7,3,6,84,6,5,1,25955,19,3,5,35087,849,314,1,8,56714,1,0,40891,7812,168101
RPL13A,6638,37,10924,7598,7133,23,3737,17847,2501,10064,6549,10932,59,3691,90,177,21,88,21,35,16,17,13898,16063,167,31603,16867,27,91,166914
SQSTM1,368,6,734,1030,701,7,5659,3042,3532,6443,15618,7114,40,3677,97,10236,6,79,14,2,18634,654,38930,7533,20310,33,4024,11547,6085,166155
RPS3A,4216,38,13158,8861,7680,39,2114,8844,104,19215,13871,17568,178,5770,40,62,17,36,11,13,61,13,11921,18233,82,12974,16230,35,8,161392
BCL2L1,6973,55,1715,1961,682,11,6963,2090,8725,451,2251,6885,10,17417,3,101,12,62,16,8,9514,32304,3,973,48055,1045,4,3095,9075,160459
TSPAN33,9,4,0,0,0,6,10,132,20,514,4,8,2,0,1,2,2,7,4,4,19861,66576,3,1125,0,0,0,59952,11671,159917
SLC39A14,0,159112,0,11,43,0,18,143,3,0,0,429,0,25,0,0,0,19,16,16,0,9,0,0,1,2,0,0,0,159847
DGKD,0,9,7,800,108,30,11,274,9,38,31,88,14,7,86,27395,14,15,12,6430,14277,28944,483,904,35561,3,10,16141,26865,158566
FTL,281,4,2314,1349,1087,11,15723,8817,8933,5065,3011,3951,27,9329,6,5,3,3840,14,978,6602,2641,10871,14740,36748,13629,966,37,7498,158480
TACSTD2,93,13,20770,4467,2832,5,15,2123,649,2596,50,1658,4,582,18,1,1,30,9,7,2,7,79282,10044,51,21968,11182,4,0,158463
SKA2,2,143104,0,0,15,1,25,8,8,1,146,881,3,0,1,0,3,26,24,20,8,10,2,935,4,8,12061,0,0,157296
SCGB1D2,5554,146005,2799,0,252,0,15,207,1712,0,263,7,0,0,0,0,0,17,9,1,7,10,0,0,0,0,0,0,0,156858
