,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
SELP,0,5.89785743310662,0.818528852622447,2.03298832515174,0,4.99220591003359,2.21872144910573,4.13795821240506,1.13689425061501,1.58302658652735,3.12667567327395,0,0,15.9218220886978,12.3257702443725,17.0203636987908,6.116980473639,0.360126571079381,2.82472535159098,17.4115669881384,0,0,18.3432302751604,16.2938478548145
TLN1,9.11120562772445,7.05427722937254,9.46780888349777,11.6267700472606,8.2681353679495,7.61648553835534,8.66776304607217,9.39558701369674,4.45836522173483,0,5.85553178362122,5.09634619115361,1.31992275372838,17.5204040792446,19.9109865966226,17.3315365506059,19.0998827072529,4.99574212578325,7.60617617759709,16.6961637152057,5.70206155062873,1.17394637431776,18.635918760108,18.0001512052374
PTGS1,12.9659400915028,7.58144810725506,0,0.826297654785786,1.99749686712053,6.69708746523945,3.25215580891681,12.759433880313,0,1.22073322541004,5.55006216091729,6.39274672444112,1.58273417171756,18.079543729834,7.9305354187192,16.7155739213157,15.3900705202405,0.888005180667002,8.22893423913146,15.9874134702348,0,0,15.2923094788887,16.7381488851273
TMEM140,15.452849842392,8.9208302021028,1.33754747741868,1.73091708777391,0,5.39586655790974,3.90786117494002,13.7234709630441,4.534983875771,0,0,4.13791331447149,0,3.47320460983135,8.92757562859184,15.5473741025104,16.6971518685747,0.888005180667002,8.19510139310171,16.874702201684,0.537887479196465,0.504630698863175,16.9016591288335,16.1615674196229
DAB2,0,7.4665984502499,0,0.826297654785786,0,6.37863127395593,3.50529231500704,5.40986167000988,0,0.735804357408018,0,5.66718251371805,0,4.96885338267809,15.3550967273418,17.6775117247932,13.6211441859235,1.57761952485716,7.49586575925976,18.5641764746953,9.73364645550457,0.504630698863175,15.9321627200412,16.2185962985195
C17orf72,3.32906903637853,5.49086278725599,0,0,0,3.49516589389416,3.72057300025087,5.40986167000988,0,0,2.57821081425982,0,0,13.9819179419299,5.94816776536613,16.7138634501689,16.9654376487889,0,6.45821120092265,17.3886518594641,0,0,13.6420375977104,16.5608365399221
GNG11,9.93422006680838,7.87959537928779,2.66567628184743,10.1358757859036,0.998331727399385,7.369935798358,1.78095600060848,11.8836979874182,2.20075960639454,0.735804357408018,2.82311181191324,6.39274672444112,0,6.67320541368745,19.7423445647473,15.0367469715629,16.8421876864116,2.60968240237193,6.74213046617664,17.0333661358906,6.195646945524,1.62938025195365,17.7724105006117,17.3319857756981
HMHA1,7.43415096505886,3.96867819654524,1.33754747741868,2.2826313462247,5.16667936473935,0,1.49947786604883,5.40986167000988,0,2.50010853933687,3.03241081999989,0,0,14.1028536669157,16.9044039454492,15.057840626164,18.2410243230164,2.46900446730586,4.58708178172389,16.1511198634093,1.70452904254281,3.80545386727166,15.5644119369101,15.001552245627
ING5,10.9859236487201,4.92185271661597,0.818528852622447,0,3.58190252580279,5.39586655790974,1.78095600060848,0,0,0,5.56697353311555,6.07510471425364,0,14.9467573388647,17.6091464521442,14.0607354987218,18.1307530575834,0,3.71913771172933,0,0.537887479196465,0,14.1229723514466,13.753826074819
LCP2,3.32906903637853,5.49086278725599,0.818528852622447,0,5.20620521981932,5.71092522774921,1.78095600060848,4.13795821240506,0.677653057474106,0,1.68247064766758,4.13791331447149,0.583848766442788,13.3512297134397,7.9305354187192,15.35576601316,17.6636602275652,0.360126571079381,0.520676641899108,16.650055463778,0.537887479196465,0,16.3008001584529,16.740289279477
C7orf49,12.5768370545807,6.21493820535335,0,0,0,3.49516589389416,1.14943439400826,13.7584657576379,5.40490152126026,2.50010853933687,0.634540208895062,0,0,8.19996666210308,8.62869891437649,14.6790561181428,14.6391312037607,0.888005180667002,7.63169428581427,16.294104491882,0,0,17.6950076659215,15.2567310902642
ALOX12,0,3.96867819654524,5.64012425083066,5.67957573249866,0,4.99220591003359,1.49947786604883,8.14615782819904,1.13689425061501,0,0,4.13791331447149,0,3.47320460983135,16.7279469639589,17.3372335695182,12.1857428362324,0,0,16.5765493879512,0,0,13.4020237337606,16.5211598571205
C2orf88,0,6.21493820535335,1.71844714392447,8.71967041655775,3.58190252580279,6.18846102162945,1.14943439400826,12.8723680019934,0,2.50010853933687,1.07374196661985,6.65291664993573,0.583848766442788,4.96885338267809,9.0971713893227,15.4309386567561,18.6614946399055,0,0,15.3615134036428,0,0,14.7132488700572,17.4341279046775
FYN,0,4.92185271661597,1.33754747741868,1.34837882341911,0.998331727399385,5.9693617776995,3.05478157178742,5.66722917873644,1.48470872817987,1.87235708264064,9.07287472027032,5.09634619115361,2.16732494942335,18.353840256841,4.971347266693,15.9789188997506,14.4805953837818,0.360126571079381,2.16253991957406,16.2715228591259,0.537887479196465,0.504630698863175,15.8259844408222,17.3338519781964
RUFY1,13.7344691111385,8.52124450656886,8.02583871901192,9.39910411507123,2.80449384396955,6.69708746523945,3.15684139259265,11.3579239301762,8.19167258152347,0.735804357408018,5.60021294107531,7.06436553224834,0.998329075997963,9.64265792630595,12.0438925328382,17.5393634665638,18.2710298120499,1.09366428582413,6.80516509046045,18.1892639841554,0,0.877760165335303,17.2067051767302,18.0024996390521
