,theta_1,theta_2,mu_1,mu_2,size_1,size_2,prob_1,prob_2,total_mean_1,total_mean_2,foldChange,norm_total_mean_1,norm_total_mean_2,norm_foldChange,chi2LR1,pvalue_LR2,pvalue_LR3,FDR_LR2,FDR_LR3,pvalue,pvalue.adj.FDR,Remark,Type,State
POU2F2,0.909090911863438,0.843041772437712,7207.99999999926,3.92069039604514,1051452.83739944,16591.4856433345,0.993191398278503,0.99976374845441,159.090909090909,0.538461538461538,295.454545454545,655.272727272727,0.615384615384615,1064.81818181818,20.3012029137214,0.000698999367135578,4.88100636575339e-08,0.00210300669195518,4.70188686609272e-07,0.000147010608522069,0.0313036301449401,NA,DEg,up
SSBP4,3.92696868208992e-09,0.768781212344375,11.2727272245303,3133.89617271733,0.350133487586786,0.106379544758413,0.0301245533487091,3.39436688338463e-05,21.9090909090909,113.153846153846,0.193622149434522,11.2727272727273,724.615384615385,0.0155568423084347,20.2890595744698,8.99305238772907e-05,2.28705943072782e-14,0.00031164042927774,8.57647286522933e-13,0.000147865503904665,0.0313036301449401,NA,DEg,down
LATS2,0.909090909322519,0.514517354453792,39957.0000015886,4.59495132272921,37525.1591935057,0.204348118960958,0.484307091894796,0.0425787391355171,444.090909090909,0.615384615384615,721.647727272727,3632.45454545455,2.23076923076923,1628.34169278997,20.245690745113,2.9176219132121e-05,3.32002203506931e-11,0.000107996580806323,7.8632100830589e-10,0.000150959284917374,0.0313036301449401,NA,DEg,up
RCL1,9.753327207422e-10,0.616184911655263,2.18181818234132,7650.5200725338,0.429692222580163,0.149173270521817,0.164537817567333,1.94980681727452e-05,1.09090909090909,1050.07692307692,0.00103888493017495,2.18181818181818,2936.38461538462,0.000743028747115405,20.1558995072984,3.38315284853508e-06,3.44144135999702e-06,1.36277896072704e-05,1.92549560994505e-05,0.000157570999576584,0.0315378304419434,NA,DEg,down
PAIP2,0.0744548804863324,2.31980918759654e-09,82.7031069369998,5991.30771224751,0.886338330498876,0.147241717209123,0.0106034718577502,2.45752856927831e-05,102.909090909091,1703.69230769231,0.0604035660925674,76.5454545454545,5991.30769230769,0.0127760847007961,20.1405230027228,2.52753373786163e-12,2.87512236241128e-11,2.16351393322395e-11,6.86108745575418e-10,0.00015873180228354,0.0315378304419434,NA,DEg,down
CEBPD,0.338869048221612,0.923076943680279,10.1754009784497,359.999975594384,0.605309872361838,16738.4665748422,0.0561474916393174,0.978945481775663,16.9090909090909,12.3846153846154,1.36533032185206,6.72727272727273,27.6923076923077,0.242929292929293,20.0432681302982,0.000263614596273443,0.000857672678678201,0.000855186383379345,0.00234927733724898,0.000166273526130301,0.0320101786065122,NA,DEg,down
PAF1,1.28241968169596e-09,0.135843147006956,32041.1823156144,27.5056976905093,0.109201083822811,0.374804789801832,3.40813614725553e-06,0.0134432580641799,3617.54545454545,47.3076923076923,76.4684405025868,32041.1818181818,23.7692307692308,1348.01088555457,20.0287797236955,0,3.01850544559557e-10,0,6.0950590728372e-09,0.000167427165315814,0.0320101786065122,NA,DEg,up
PRICKLE2,0.816027491682147,0.923076919284291,4.44730473371588,6383.99999660952,10590.8974399774,29899.6144665744,0.999580258609713,0.824052810309535,2.09090909090909,100.153846153846,0.0208769724898757,0.818181818181818,491.076923076923,0.0016660970608339,19.939059025301,0.000721042666699034,1.0453397991661e-07,0.0021610698383463,9.04620980047587e-07,0.000174750734193485,0.0327916516589368,NA,DEg,down
CLK3,0,2.61083434630138e-08,122.272727272727,3353.69358842838,0.612008209700929,0.0882740997326666,0.00498034363095034,2.63207636486306e-05,234.545454545455,742.307692307692,0.31596796985398,122.272727272727,3353.69230769231,0.0364591369912715,19.8526265257124,2.08988896210904e-06,0,8.70787067545435e-06,0,0.000182107234487638,0.0335023363811973,NA,DEg,down
MAN1A2,1.08053110168228e-08,0.923076898686557,29.0000106493503,585.999984216077,0.196161111541562,17591.114219993,0.00671872713820374,0.967761660204545,44.3636363636364,20.1538461538462,2.20124913254684,29,45.0769230769231,0.643344709897611,19.768871490996,3.87716597841647e-05,0.00430931736404494,0.000141518804542432,0.00899559290705206,0.000189529737764871,0.0335023363811973,NA,DEg,down
