"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000137563","GGH","1","positive","More details"
"ENSG00000137575","SDCBP","1","positive","More details"
"ENSG00000137818","RPLP1","1","positive","More details"
"ENSG00000137877","SPTBN5","1","positive","More details"
"ENSG00000138061","CYP1B1","1","positive","More details"
"ENSG00000138095","LRPPRC","1","positive","More details"
"ENSG00000138180","CEP55","1","positive","More details"
"ENSG00000138279","ANXA7","1","positive","More details"
"ENSG00000138326","RPS24","1","positive","More details"
"ENSG00000138363","ATIC","1","positive","More details"
"ENSG00000138385","SSB","1","positive","More details"
"ENSG00000138413","IDH1","1","positive","More details"
"ENSG00000138430","OLA1","1","positive","More details"
"ENSG00000138495","COX17","1","positive","More details"
"ENSG00000138777","PPA2","1","positive","More details"
"ENSG00000138796","HADH","1","positive","More details"
"ENSG00000139343","SNRPF","1","positive","More details"
"ENSG00000139644","TMBIM6","1","positive","More details"
"ENSG00000139921","TMX1","1","positive","More details"
"ENSG00000140264","SERF2","1","positive","More details"
"ENSG00000140319","SRP14","1","positive","More details"
"ENSG00000140905","GCSH","1","positive","More details"
"ENSG00000140988","RPS2","1","positive","More details"
"ENSG00000141378","PTRH2","1","positive","More details"
"ENSG00000141385","AFG3L2","1","positive","More details"
"ENSG00000141552","ANAPC11","1","positive","More details"
"ENSG00000141759","TXNL4A","1","positive","More details"
"ENSG00000141959","PFKL","1","positive","More details"
"ENSG00000142166","IFNAR1","1","positive","More details"
"ENSG00000142168","SOD1","1","positive","More details"
"ENSG00000142208","AKT1","1","positive","More details"
"ENSG00000142230","SAE1","1","positive","More details"
"ENSG00000142507","PSMB6","1","positive","More details"
"ENSG00000142534","RPS11","1","positive","More details"
"ENSG00000142541","RPL13A","1","positive","More details"
"ENSG00000142546","NOSIP","1","positive","More details"
"ENSG00000142676","RPL11","1","positive","More details"
"ENSG00000142892","PIGK","1","positive","More details"
"ENSG00000142937","RPS8","1","positive","More details"
"ENSG00000142945","KIF2C","1","positive","More details"
"ENSG00000143106","PSMA5","1","positive","More details"
"ENSG00000143155","TIPRL","1","positive","More details"
"ENSG00000143158","MPC2","1","positive","More details"
"ENSG00000143164","DCAF6","1","positive","More details"
"ENSG00000143196","DPT","1","positive","More details"
"ENSG00000143420","ENSA","1","positive","More details"
"ENSG00000143537","ADAM15","1","positive","More details"
"ENSG00000143545","RAB13","1","positive","More details"
"ENSG00000143612","C1orf43","1","positive","More details"
"ENSG00000143621","ILF2","1","positive","More details"
"ENSG00000143742","SRP9","1","positive","More details"
"ENSG00000143761","ARF1","1","positive","More details"
"ENSG00000143870","PDIA6","1","positive","More details"
"ENSG00000143933","CALM2","1","positive","More details"
"ENSG00000143977","SNRPG","1","positive","More details"
"ENSG00000144034","TPRKB","1","positive","More details"
"ENSG00000144713","RPL32","1","positive","More details"
"ENSG00000144848","ATG3","1","positive","More details"
"ENSG00000145247","OCIAD2","1","positive","More details"
"ENSG00000145293","ENOPH1","1","positive","More details"
"ENSG00000145358","DDIT4L","1","positive","More details"
"ENSG00000145386","CCNA2","1","positive","More details"
"ENSG00000145491","ROPN1L","1","positive","More details"
"ENSG00000145592","RPL37","1","positive","More details"
"ENSG00000145741","BTF3","1","positive","More details"
"ENSG00000145781","COMMD10","1","positive","More details"
"ENSG00000146425","DYNLT1","1","positive","More details"
"ENSG00000146540","C7orf50","1","positive","More details"
"ENSG00000146670","CDCA5","1","positive","More details"
"ENSG00000146731","CCT6A","1","positive","More details"
"ENSG00000147155","EBP","1","positive","More details"
"ENSG00000147419","CCDC25","1","positive","More details"
"ENSG00000147439","BIN3","1","positive","More details"
"ENSG00000147586","MRPS28","1","positive","More details"
"ENSG00000147592","LACTB2","1","positive","More details"
"ENSG00000147677","EIF3H","1","positive","More details"
"ENSG00000147804","SLC39A4","1","positive","More details"
"ENSG00000148303","RPL7A","1","positive","More details"
"ENSG00000148444","COMMD3","1","positive","More details"
"ENSG00000148730","EIF4EBP2","1","positive","More details"
"ENSG00000148950","IMMP1L","1","positive","More details"
"ENSG00000148985","PGAP2","1","positive","More details"
"ENSG00000149089","APIP","1","positive","More details"
"ENSG00000149100","EIF3M","1","positive","More details"
"ENSG00000149196","HIKESHI","1","positive","More details"
"ENSG00000149256","TENM4","1","positive","More details"
"ENSG00000149792","MRPL49","1","positive","More details"
"ENSG00000150753","CCT5","1","positive","More details"
"ENSG00000150779","TIMM8B","1","positive","More details"
"ENSG00000150991","UBC","1","positive","More details"
"ENSG00000151729","SLC25A4","1","positive","More details"
"ENSG00000152942","RAD17","1","positive","More details"
"ENSG00000152944","MED21","1","positive","More details"
"ENSG00000153037","SRP19","1","positive","More details"
"ENSG00000153140","CETN3","1","positive","More details"
"ENSG00000153165","RGPD3","1","positive","More details"
"ENSG00000153485","TMEM251","1","positive","More details"
"ENSG00000154582","ELOC","1","positive","More details"
"ENSG00000154723","ATP5PF","1","positive","More details"
"ENSG00000155368","DBI","1","positive","More details"
"ENSG00000155957","TMBIM4","1","positive","More details"
"ENSG00000156113","KCNMA1","1","positive","More details"
"ENSG00000156261","CCT8","1","positive","More details"
"ENSG00000156411","ATP5MPL","1","positive","More details"
"ENSG00000156467","UQCRB","1","positive","More details"
"ENSG00000156482","RPL30","1","positive","More details"
"ENSG00000156508","EEF1A1","1","positive","More details"
"ENSG00000157322","CLEC18A","1","positive","More details"
"ENSG00000157911","PEX10","1","positive","More details"
"ENSG00000158186","MRAS","1","positive","More details"
"ENSG00000158201","ABHD3","1","positive","More details"
"ENSG00000159055","MIS18A","1","positive","More details"
"ENSG00000159210","SNF8","1","positive","More details"
"ENSG00000159377","PSMB4","1","positive","More details"
"ENSG00000159720","ATP6V0D1","1","positive","More details"
"ENSG00000160075","SSU72","1","positive","More details"
"ENSG00000160131","VMA21","1","positive","More details"
"ENSG00000160213","CSTB","1","positive","More details"
"ENSG00000160752","FDPS","1","positive","More details"
"ENSG00000160791","CCR5","1","positive","More details"
"ENSG00000160818","GPATCH4","1","positive","More details"
"ENSG00000162244","RPL29","1","positive","More details"
