,mean,total,tech,bio,p.value,FDR
NOMO2,1.6631432582376,2.68460964922388,4.91096116351837,-2.2263515142945,0.972006644395596,0.999903837598123
IRX3,3.4341837557094,4.36525817053734,6.5924971589286,-2.22723898839127,0.922810900289563,0.999903837598123
STARD7-AS1,2.58749214144656,3.9930931700157,6.22055052151404,-2.22745735149835,0.934420025842845,0.999903837598123
MSTO1,2.27886399479924,3.67129472465206,5.8991630529059,-2.22786832825385,0.944316341802226,0.999903837598123
TOP1,5.73275224106778,3.12480036014286,5.3526759653359,-2.22787560519303,0.960338515419414,0.999903837598123
STAG3L2,2.32253964226742,3.72337772984229,5.9516581852838,-2.2282804554415,0.94275472186161,0.999903837598123
MIR3064,1.6431244260529,2.64051386454989,4.87005591105438,-2.22954204650449,0.973193681020204,0.999903837598123
RPL23A,6.28525337306125,2.70335153319932,4.93414117714902,-2.2307896439497,0.971671824490634,0.999903837598123
PNRC2,4.97349265973547,3.70751882757797,5.94064929800451,-2.23313047042655,0.943481989432218,0.999903837598123
C15orf40,3.99806775710844,4.2628024119158,6.49953519648531,-2.23673278456952,0.92657724777924,0.999903837598123
WBP1,4.14383124850341,4.20531042042176,6.4426918178824,-2.23738139746065,0.928401480413863,0.999903837598123
NR1H3,2.48425601235377,3.88808117573885,6.12552829309991,-2.23744711736106,0.93819975341954,0.999903837598123
MED25,3.24889502501988,4.33019873843387,6.56816039344446,-2.23796165501059,0.924555041857348,0.999903837598123
NSA2,5.48818650469016,3.30843480097309,5.5465083935745,-2.23807359260141,0.955534180592072,0.999903837598123
WASH1,1.18250086626199,1.53184447676368,3.77144170063307,-2.23959722386939,0.993849410686737,0.999903837598123
MNT,1.81356424131891,2.95903317821691,5.19934568204796,-2.24031250383105,0.965349800941638,0.999903837598123
NIT1,5.20137325450902,3.529904594246,5.77103242771941,-2.24112783347341,0.949196377974639,0.999903837598123
BTF3L4,5.18614376640792,3.54063539272158,5.78279926524863,-2.24216387252705,0.948926743880919,0.999903837598123
RPSA,6.37012922400523,2.63215236316655,4.87505575999256,-2.24290339682601,0.973781456238113,0.999903837598123
STAB1,2.15880326455787,3.49702406845519,5.7419492419777,-2.24492517352251,0.950343273365647,0.999903837598123
USF2,3.51197154662027,4.3467499747267,6.59399708061841,-2.2472471058917,0.924598863058621,0.999903837598123
RP11-326F20.5,2.33833899563001,3.7225237402738,5.97005881865217,-2.24753507837837,0.943750297571169,0.999903837598123
LRRC37A2,1.27104370897021,1.75735692978059,4.00515646969632,-2.24779953991573,0.991007743828288,0.999903837598123
ZSCAN16-AS1,2.27094744314745,3.63948615611539,5.88937158380265,-2.24988542768726,0.946353917593254,0.999903837598123
LENG8,5.08042567341632,3.61094450987594,5.8622652581202,-2.25132074824425,0.947272404102778,0.999903837598123
WBP2,5.76877938805017,3.07217164510616,5.32422325686018,-2.25205161175402,0.962718807895515,0.999903837598123
BZW1,6.11842588823481,2.80177682975216,5.05470742097706,-2.2529305912249,0.969874818735242,0.999903837598123
ERCC-00054,1.39516778965755,2.05679923962294,4.31526819402907,-2.25846895440613,0.986319712030628,0.999903837598123
