,mean,total,tech,bio,p.value,FDR
TRAF3IP3,1.58038273179847,5.20380067053256,7.76411534553413,-2.56031467500157,0.909942408869922,0.999932012950346
ARMC7,2.3226206609363,8.19412677168107,10.7548360052155,-2.56070923353439,0.833430129301264,0.999932012950346
LASP1,5.63486198318013,14.1057880591668,16.6686222812086,-2.56283422204176,0.734002191108226,0.999932012950346
PIGX,2.8154200527114,9.85296705454297,12.4166619392761,-2.56369488473318,0.799337290736527,0.999932012950346
RHCE,2.45042729192854,8.64031392876366,11.2089428621379,-2.56862893337423,0.824195333252219,0.999932012950346
IRF2BP2,6.94252344863291,13.3509928394808,15.9199261903137,-2.56893335083285,0.744059342914526,0.999932012950346
IRX3,1.46530918299706,4.68823235692348,7.25760407112252,-2.56937171419904,0.924927591614698,0.999932012950346
LRRC37BP1,1.71838027356324,5.78958247489441,8.35908755051776,-2.56950507562335,0.894252327196876,0.999932012950346
WBP5,2.20539301994389,7.75174879081884,10.324039846273,-2.57229105545418,0.844410979491678,0.999932012950346
SURF6,2.00929305013342,6.99157005320139,9.56436968678104,-2.57279963357964,0.862892963172754,0.999932012950346
SEC61B,4.01444349082819,12.7378042461592,15.310622840523,-2.57281859436382,0.752710893704118,0.999932012950346
GNPAT,5.24086632066031,14.0269496017055,16.602268230956,-2.57531862925056,0.735821783504587,0.999932012950346
CITED2,3.43957734169151,11.5579169583027,14.1340064141245,-2.5760894558218,0.770607066194838,0.999932012950346
COTL1,3.37456894342272,11.3956527244685,13.9761499106045,-2.58049718613598,0.773522328950858,0.999932012950346
GDF9,1.11959998294334,3.0997496649359,5.6806574099976,-2.5809077450617,0.967607994846217,0.999932012950346
SMC4,3.60773753224667,11.9377128111728,14.5193340586424,-2.58162124746965,0.765078619231087,0.999932012950346
SSH3,3.33816831218343,11.3001656217662,13.8851157517731,-2.58495013000692,0.775391528151728,0.999932012950346
RAB10,6.69686666255284,13.5939520056908,16.1791269588112,-2.58517495312043,0.741987016818929,0.999932012950346
EIF2S1,4.6493268726134,13.5905621338308,16.1764190928071,-2.58585695897628,0.742077501084343,0.999932012950346
TPT1-AS1,1.08847025887687,2.94505020191101,5.53461113894537,-2.58956093703436,0.971403461469886,0.999932012950346
CHKB-CPT1B,3.20913076018655,10.9586756140879,13.5501452695279,-2.59146965544008,0.781533761444798,0.999932012950346
WDFY3,2.11299278432741,7.38285398881263,9.97437455647879,-2.59152056766616,0.854537151828102,0.999932012950346
FKBP1A,5.00143210185308,13.8853616662625,16.4771923434507,-2.5918306771882,0.738710959649492,0.999932012950346
NEURL4,4.60507938459038,13.5354770677275,16.1291495486818,-2.59367248095433,0.743327267500609,0.999932012950346
TBRG1,4.16116642992155,12.9528840879827,15.5471203542147,-2.594236266232,0.751194872051746,0.999932012950346
C9orf37,1.76447645574473,5.95967954024391,8.55473733653096,-2.59505779628705,0.89121767042299,0.999932012950346
POLR2A,4.29922247062513,13.1521112154324,15.749329850734,-2.59721863530158,0.748671840300164,0.999932012950346
NIPA2,2.38605020526173,8.38266901941517,10.9822286107608,-2.59955959134561,0.832012713060638,0.999932012950346
PJA2,2.1750782451152,7.61001781255178,10.2100852925531,-2.60006748000136,0.849692313961191,0.999932012950346
NUB1,2.51374310227947,8.82799219079823,11.4291395524279,-2.60114736162967,0.822540807554119,0.999932012950346
TMEM212,1.76852882860287,5.97062281639183,8.57184711769806,-2.60122430130623,0.8913040048675,0.999932012950346
PAR-SN,1.29811595735885,3.90172245149478,6.50525954543866,-2.60353709394388,0.948109486082927,0.999932012950346
PPAN-P2RY11,2.3794447505172,8.35431568620423,10.9587114634363,-2.60439577723207,0.832979895769632,0.999932012950346
AFF4,3.36734219344631,11.3523555618134,13.9581776515212,-2.60582208970787,0.776025355749597,0.999932012950346
NDUFA3,1.99055043139315,6.88305318459221,9.48912252582068,-2.60606934122847,0.867859834780675,0.999932012950346
AARS2,1.4553908027436,4.60701710008274,7.21350748768613,-2.60649038760338,0.929047385428624,0.999932012950346
SERTAD2,2.33091687122653,8.1766135093733,10.7848498647861,-2.60823635541281,0.837203258755446,0.999932012950346
TUBA1C,8.52639393099171,11.2793362180113,13.8876222092705,-2.60828599125917,0.77739194328454,0.999932012950346
SOS2,1.27135292167686,3.77454847822515,6.38302812132195,-2.60847964309681,0.951652596268674,0.999932012950346
RPS19BP1,3.97651147347903,12.6333402538345,15.2453355398066,-2.61199528597207,0.75691576009717,0.999932012950346
