HGNC.approved.symbol,mean,total,tech,bio,p.value,FDR
ASXL1,2.78126774572651,14.3207279523753,12.3098821733478,2.01084577902749,0.253350051247416,0.999932012950346
APEX1,5.12591854129451,18.5569783428805,16.5482964288582,2.00868191402227,0.310868226481224,0.999932012950346
PADI2,1.40852498121802,8.96651748717081,7.0042537803813,1.96226370678951,0.127403549264838,0.967583256275844
TFPT,1.94607672535903,11.268431091589,9.30882798644475,1.95960310514422,0.196090162026164,0.999932012950346
FHIT,1.4837050754895,9.2826050584278,7.33919768901657,1.94340736941123,0.140888175413458,0.990308496762977
DDX50,1.85198324693315,10.8303923904172,8.92153012933426,1.90886226108298,0.192232743985515,0.999932012950346
CUL4B,1.8179756741618,10.6621749136535,8.77975473773827,1.88242017591525,0.191740603510252,0.999932012950346
EYA3,1.97326425854188,11.2578069372534,9.41921303477419,1.83859390247918,0.213765911862543,0.999932012950346
PRDM4,2.13652300379284,11.8870367750072,10.0640691199337,1.82296765507352,0.230782450610774,0.999932012950346
PGR,1.87614915874635,10.8176241004069,9.02180653333283,1.79581756707409,0.209228969404237,0.999932012950346
SUDS3,2.90038306676082,14.4686631319395,12.6763392972714,1.79232383466817,0.282740554385361,0.999932012950346
MBD6,5.27311935130317,18.3919661367798,16.6131826907139,1.77878344606583,0.331703337534939,0.999932012950346
NFRKB,2.32651774498667,12.539811043916,10.7689413527372,1.77086969117885,0.251934061433929,0.999932012950346
MOV10,2.72816471964862,13.8918037565364,12.1410275714332,1.75077618510313,0.278887530984608,0.999932012950346
ZMYND8,5.81516276477516,18.3912202054162,16.6533844183188,1.73783578709734,0.335721102199584,0.999932012950346
HIRIP3,2.16159428461616,11.8797037544184,10.1591751634079,1.72052859101049,0.245602562864415,0.999932012950346
PDP1,2.4517093488417,12.9336342008346,11.2134356725994,1.72019852823516,0.266460730201174,0.999932012950346
SMYD2,2.77827750322557,14.0191475644383,12.3004420370206,1.71870552741766,0.285032747433575,0.999932012950346
DPF3,0.823667788046301,5.97945680220089,4.26514132033195,1.71431548186894,0.0511537309688636,0.675092952420057
OGT,4.93151463453711,18.1401973383779,16.4303554665247,1.7098418718532,0.33614698140477,0.999932012950346
WDR77,2.08701649845054,11.5785049275736,9.87318346383347,1.70532146374016,0.241316827210403,0.999932012950346
SMARCA1,1.34878178556229,8.43028397242419,6.73528709738044,1.69499687504375,0.15317042788521,0.999932012950346
RCOR3,4.134907638889,17.199233219094,15.5061657720187,1.6930674470753,0.328587777459978,0.999932012950346
PCNA,3.41849801896144,15.7617100653353,14.0832243644437,1.67848570089156,0.314033352468933,0.999932012950346
SUZ12,2.64898718760331,13.5543191246579,11.883707566932,1.6706115577259,0.283856910567622,0.999932012950346
PHF13,1.24156732372376,7.88455381292908,6.24642829158229,1.63812552134679,0.143216581807024,0.99173182433056
RCOR1,3.71327131592396,16.3238519024488,14.7439076479395,1.57994425450927,0.33157276654301,0.999932012950346
INO80,1.60427321660135,9.4466387626692,7.86809354123884,1.57854522143036,0.207394826312761,0.999932012950346
ZNF711,1.0564065500493,6.96152765967549,5.38348480583386,1.57804285384162,0.116731659940415,0.945425043462227
PAK2,2.82095653972393,14.0027907361494,12.4338012044262,1.56898953172315,0.304003765885306,0.999932012950346
FOXP2,0.601978367041502,4.72876044224933,3.16469317510737,1.56406726714196,0.0222741880545854,0.512403310109112
JMJD6,2.41304896872489,12.6384728907859,11.0777415014713,1.56073138931452,0.283431526894481,0.999932012950346
TDRD3,1.69091319659912,9.80191861355245,8.24177270575923,1.56014590779322,0.220814482962885,0.999932012950346
